cell_id,district_name,district_key,lu_2018_class,lu_2018_class_simplified,height_mean,height_max,pt_stop_count,pt_access_good,rent_median_m2_2023,emvs_units_total,cluster_features_ready,cluster_label,cluster_distance_to_centroid
7695,Hortaleza,hortaleza,Sports and leisure facilities,Other,7.45,21.0,0,False,79.0,29.0,True,cluster_0,0.3739145337337294
7697,Fuencarral-El Pardo,fuencarralelpardo,Arable land (annual crops),Arable land (annual crops),,,0,False,77.0,23.0,False,,
7698,Fuencarral-El Pardo,fuencarralelpardo,Arable land (annual crops),Arable land (annual crops),,,0,False,77.0,23.0,False,,
7699,Fuencarral-El Pardo,fuencarralelpardo,Arable land (annual crops),Arable land (annual crops),,,0,False,77.0,23.0,False,,
7700,Fuencarral-El Pardo,fuencarralelpardo,Arable land (annual crops),Arable land (annual crops),,,0,False,77.0,23.0,False,,
7701,Fuencarral-El Pardo,fuencarralelpardo,Pastures,Pastures,,,0,False,77.0,23.0,False,,
7702,Fuencarral-El Pardo,fuencarralelpardo,Arable land (annual crops),Arable land (annual crops),,,0,False,77.0,23.0,False,,
7703,Fuencarral-El Pardo,fuencarralelpardo,Pastures,Pastures,,,0,False,77.0,23.0,False,,
7704,Fuencarral-El Pardo,fuencarralelpardo,"Herbaceous vegetation associations (natural grassland, moors...)","Herbaceous vegetation associations (natural grassland, moors...)",,,0,False,77.0,23.0,False,,
7705,Fuencarral-El Pardo,fuencarralelpardo,Arable land (annual crops),Arable land (annual crops),,,0,False,77.0,23.0,False,,
7706,Fuencarral-El Pardo,fuencarralelpardo,Arable land (annual crops),Arable land (annual crops),,,0,False,77.0,23.0,False,,
7707,Fuencarral-El Pardo,fuencarralelpardo,Pastures,Pastures,,,0,False,77.0,23.0,False,,
7708,Fuencarral-El Pardo,fuencarralelpardo,Pastures,Pastures,,,0,False,77.0,23.0,False,,
7709,Fuencarral-El Pardo,fuencarralelpardo,Pastures,Pastures,,,0,False,77.0,23.0,False,,
7710,Fuencarral-El Pardo,fuencarralelpardo,"Herbaceous vegetation associations (natural grassland, moors...)","Herbaceous vegetation associations (natural grassland, moors...)",,,0,False,77.0,23.0,False,,
7711,Fuencarral-El Pardo,fuencarralelpardo,"Herbaceous vegetation associations (natural grassland, moors...)","Herbaceous vegetation associations (natural grassland, moors...)",,,0,False,77.0,23.0,False,,
7712,Fuencarral-El Pardo,fuencarralelpardo,"Herbaceous vegetation associations (natural grassland, moors...)","Herbaceous vegetation associations (natural grassland, moors...)",,,0,False,77.0,23.0,False,,
7713,Fuencarral-El Pardo,fuencarralelpardo,"Herbaceous vegetation associations (natural grassland, moors...)","Herbaceous vegetation associations (natural grassland, moors...)",,,0,False,77.0,23.0,False,,
7714,Fuencarral-El Pardo,fuencarralelpardo,"Herbaceous vegetation associations (natural grassland, moors...)","Herbaceous vegetation associations (natural grassland, moors...)",,,0,False,77.0,23.0,False,,
7715,Fuencarral-El Pardo,fuencarralelpardo,Pastures,Pastures,,,0,False,77.0,23.0,False,,
7716,Fuencarral-El Pardo,fuencarralelpardo,Pastures,Pastures,,,0,False,77.0,23.0,False,,
7720,Villa de Vallecas,villadevallecas,"Herbaceous vegetation associations (natural grassland, moors...)","Herbaceous vegetation associations (natural grassland, moors...)",,,0,False,71.0,1252.0,False,,
7721,Villa de Vallecas,villadevallecas,Pastures,Pastures,,,0,False,71.0,1252.0,False,,
7722,Villa de Vallecas,villadevallecas,"Herbaceous vegetation associations (natural grassland, moors...)","Herbaceous vegetation associations (natural grassland, moors...)",,,0,False,71.0,1252.0,False,,
7723,Villa de Vallecas,villadevallecas,"Herbaceous vegetation associations (natural grassland, moors...)","Herbaceous vegetation associations (natural grassland, moors...)",,,0,False,71.0,1252.0,False,,
