cell_id,district_name,district_key,lu_2018_class,lu_2018_class_simplified,height_mean,height_max,pt_stop_count,pt_access_good,rent_median_m2_2023,emvs_units_total,cluster_features_ready,cluster_label,cluster_distance_to_centroid
3863,Villaverde,villaverde,Green urban areas,Green urban areas,6.472222222222222,9.0,0,False,66.0,934.0,True,cluster_1,1.7905676941154525e-12
3864,Villaverde,villaverde,Other roads and associated land,Other roads and associated land,9.205882352941176,12.0,4,True,66.0,934.0,True,cluster_2,1.000444171950221e-11
3871,Carabanchel,carabanchel,Green urban areas,Green urban areas,7.333333333333333,8.0,0,False,63.0,746.0,True,cluster_1,1.7266188478970435e-12
3872,Carabanchel,carabanchel,Green urban areas,Green urban areas,6.833333333333333,8.0,4,True,63.0,746.0,True,cluster_1,7.887024366937112e-12
3873,Carabanchel,carabanchel,"Industrial, commercial, public, military and private units","Industrial, commercial, public, military and private units",11.933333333333334,17.0,0,False,63.0,746.0,True,cluster_1,5.421796345217444e-10
3874,Carabanchel,carabanchel,Green urban areas,Green urban areas,11.09375,14.0,6,True,63.0,746.0,True,cluster_1,2.1174173525650986e-11
3875,Carabanchel,carabanchel,Green urban areas,Green urban areas,,,0,False,63.0,746.0,False,,
3876,Carabanchel,carabanchel,Green urban areas,Green urban areas,,,0,False,63.0,746.0,False,,
3877,Carabanchel,carabanchel,Green urban areas,Green urban areas,7.416666666666667,9.0,0,False,63.0,746.0,True,cluster_1,1.6768808563938364e-12
3878,Carabanchel,carabanchel,Other roads and associated land,Other roads and associated land,15.15625,24.0,4,True,63.0,746.0,True,cluster_2,1.0885514711844735e-11
3879,Carabanchel,carabanchel,Discontinuous dense urban fabric (S.L. : 50% -  80%),Discontinuous dense urban fabric (S.L. : 50% -  80%),10.275252525252526,24.0,12,True,63.0,746.0,True,cluster_4,0.0
3880,Carabanchel,carabanchel,Continuous urban fabric (S.L. : > 80%),Continuous urban fabric (S.L. : > 80%),11.389776357827476,29.0,9,True,63.0,746.0,True,cluster_4,0.0
3881,Carabanchel,carabanchel,Discontinuous dense urban fabric (S.L. : 50% -  80%),Discontinuous dense urban fabric (S.L. : 50% -  80%),11.798816568047338,32.0,0,False,63.0,746.0,True,cluster_4,0.0
3882,Carabanchel,carabanchel,Continuous urban fabric (S.L. : > 80%),Continuous urban fabric (S.L. : > 80%),10.776315789473685,28.0,0,False,63.0,746.0,True,cluster_4,0.0
3883,Carabanchel,carabanchel,Discontinuous dense urban fabric (S.L. : 50% -  80%),Discontinuous dense urban fabric (S.L. : 50% -  80%),10.439739413680782,26.0,8,True,63.0,746.0,True,cluster_4,0.0
3884,Carabanchel,carabanchel,Continuous urban fabric (S.L. : > 80%),Continuous urban fabric (S.L. : > 80%),13.358078602620088,21.0,0,False,63.0,746.0,True,cluster_4,0.0
3885,Carabanchel,carabanchel,Green urban areas,Green urban areas,6.7109375,14.0,0,False,63.0,746.0,True,cluster_1,2.1174173525650986e-12
3886,Carabanchel,carabanchel,Other roads and associated land,Other roads and associated land,14.333333333333334,29.0,6,True,63.0,746.0,True,cluster_2,1.6115109247039072e-11
3887,Carabanchel,carabanchel,Discontinuous dense urban fabric (S.L. : 50% -  80%),Discontinuous dense urban fabric (S.L. : 50% -  80%),20.1496062992126,44.0,7,True,63.0,746.0,True,cluster_4,0.0
